product_id,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity,profit_margin_percentage
PROD-0094,Samsung Smartwatches Premium,Electronics,Smartwatches,Samsung,8112.08,10559.0,Zenith Tech Distribution,533,23.17
PROD-0095,Bombay Dyeing Bedding & Linen Essentials,Home & Kitchen,Bedding & Linen,Bombay Dyeing,283.01,469.0,Urban Living Goods,301,39.66
PROD-0096,Nykaa Makeup Essentials,Beauty,Makeup,Nykaa,666.89,1609.0,Pureglow Cosmetics,360,58.55
PROD-0097,Cosco Racket Sports Ultra,Sports,Racket Sports,Cosco,2444.95,3459.0,Olympus Gear,569,29.32
PROD-0098,Nike Winter Wear Premium,Fashion,Winter Wear,Nike,1350.06,3439.0,Heritage Weaves,447,60.74
PROD-0099,Sony Audio & Headphones Premium,Electronics,Audio & Headphones,Sony,7609.01,9099.0,Metro Gadget Hub,309,16.38
PROD-0100,W Women'S Wear Ultra,Fashion,Women'S Wear,W,855.5,1759.0,Vibrant Textiles Corp,136,51.36
PROD-0101,Dell Smartphones Pro,Electronics,Smartphones,Dell,21157.47,27649.0,Zenith Tech Distribution,154,23.48
PROD-0102,Titan Bags & Backpacks Classic,Accessories,Bags & Backpacks,Titan,194.65,449.0,Optima Accessories,329,56.65
PROD-0103,Bajaj Home Decor Plus,Home & Kitchen,Home Decor,Bajaj,618.4,1019.0,Urban Living Goods,89,39.31
PROD-0104,Nivia Sports Apparel Max,Sports,Sports Apparel,Nivia,182.96,329.0,Olympus Gear,348,44.39
PROD-0105,Penguin Self-Help Pro,Books,Self-Help,Penguin,473.35,719.0,Global Book Importers,346,34.17
PROD-0106,Peter England Footwear Series 5,Fashion,Footwear,Peter England,1761.65,3229.0,Vibrant Textiles Corp,223,45.44
PROD-0107,Aashirvaad Cooking Essentials Max,Grocery,Cooking Essentials,Aashirvaad,94.28,109.0,Bharat Foodworks,305,13.5
PROD-0108,Milton Home Decor Series 5,Home & Kitchen,Home Decor,Milton,615.46,969.0,Urban Living Goods,407,36.49
PROD-0109,Bombay Dyeing Bedding & Linen Essentials,Home & Kitchen,Bedding & Linen,Bombay Dyeing,3310.03,5379.0,Homecraft Distributors,242,38.46
PROD-0110,Peter England Ethnic Wear Essentials,Fashion,Ethnic Wear,Peter England,495.95,919.0,Heritage Weaves,314,46.03
PROD-0111,Philips Bedding & Linen Pro,Home & Kitchen,Bedding & Linen,Philips,2629.39,3779.0,Urban Living Goods,147,30.42
PROD-0112,W Footwear Classic,Fashion,Footwear,W,706.89,1279.0,Heritage Weaves,392,44.73
PROD-0113,Levi'S Footwear Series 5,Fashion,Footwear,Levi'S,2018.73,3589.0,Vibrant Textiles Corp,238,43.75
PROD-0114,Hawkins Small Appliances Classic,Home & Kitchen,Small Appliances,Hawkins,1723.65,2559.0,Urban Living Goods,209,32.64
PROD-0115,Nivia Fitness Equipment Premium,Sports,Fitness Equipment,Nivia,1485.79,2249.0,Action Sports Distribution,161,33.94
PROD-0116,Oxford University Press Fiction Premium,Books,Fiction,Oxford University Press,159.03,249.0,National Book Depot,109,36.13
PROD-0117,Spaces Cookware Pro,Home & Kitchen,Cookware,Spaces,1329.23,2439.0,Urban Living Goods,107,45.5
PROD-0118,Harpercollins Children'S Books Ultra,Books,Children'S Books,Harpercollins,342.28,519.0,National Book Depot,516,34.05
PROD-0119,Bajaj Small Appliances Series 5,Home & Kitchen,Small Appliances,Bajaj,1421.54,2009.0,Urban Living Goods,489,29.24
PROD-0120,Samsung Audio & Headphones Classic,Electronics,Audio & Headphones,Samsung,30131.93,34569.0,Metro Gadget Hub,497,12.84
PROD-0121,Xiaomi Smartwatches Max,Electronics,Smartwatches,Xiaomi,26112.76,29679.0,Metro Gadget Hub,481,12.02
PROD-0122,Biba Women'S Wear Essentials,Fashion,Women'S Wear,Biba,1041.57,2129.0,Royal Garments Supply,490,51.08
PROD-0123,Cosco Outdoor Gear Elite,Sports,Outdoor Gear,Cosco,1256.7,1939.0,Olympus Gear,590,35.19
PROD-0124,Yonex Outdoor Gear Prime,Sports,Outdoor Gear,Yonex,1180.58,1879.0,Action Sports Distribution,173,37.17
PROD-0125,Tata Sampann Breakfast & Dairy Classic,Grocery,Breakfast & Dairy,Tata Sampann,186.98,219.0,Farmfresh Agro Supplies,107,14.62
PROD-0126,Hp Cameras Series 5,Electronics,Cameras,Hp,11349.91,12959.0,Zenith Tech Distribution,261,12.42
PROD-0127,Spaces Cookware Series 5,Home & Kitchen,Cookware,Spaces,2774.96,4549.0,Homecraft Distributors,201,39.0
PROD-0128,Peter England Winter Wear Essentials,Fashion,Winter Wear,Peter England,2031.08,3519.0,Vibrant Textiles Corp,194,42.28
PROD-0129,Yonex Fitness Equipment Plus,Sports,Fitness Equipment,Yonex,2039.89,2849.0,Olympus Gear,218,28.4
PROD-0130,Nestle Cooking Essentials Premium,Grocery,Cooking Essentials,Nestle,85.16,109.0,Bharat Foodworks,205,21.87
PROD-0131,Sony Smartphones Classic,Electronics,Smartphones,Sony,2257.0,2649.0,Apex Electronics Ltd,173,14.8
PROD-0132,Realme Cameras Plus,Electronics,Cameras,Realme,17419.2,22249.0,Metro Gadget Hub,436,21.71
PROD-0133,Penguin Non-Fiction Prime,Books,Non-Fiction,Penguin,183.61,259.0,Scholar Press Logistics,349,29.11
PROD-0134,Mamaearth Men'S Grooming Ultra,Beauty,Men'S Grooming,Mamaearth,301.77,699.0,Divine Botanicals,256,56.83
PROD-0135,Nykaa Men'S Grooming Classic,Beauty,Men'S Grooming,Nykaa,114.14,279.0,Pureglow Cosmetics,347,59.09
PROD-0136,Kiprun Outdoor Gear Premium,Sports,Outdoor Gear,Kiprun,2422.25,3369.0,Action Sports Distribution,568,28.1
PROD-0137,Nike Women'S Wear Ultra,Fashion,Women'S Wear,Nike,763.4,1329.0,Heritage Weaves,288,42.56
PROD-0138,Fabindia Ethnic Wear Essentials,Fashion,Ethnic Wear,Fabindia,1766.93,3699.0,Royal Garments Supply,519,52.23
PROD-0139,Philips Small Appliances Ultra,Home & Kitchen,Small Appliances,Philips,385.66,719.0,Sterling Kitchenware,268,46.36
PROD-0140,Realme Smartphones Ultra,Electronics,Smartphones,Realme,22011.58,29559.0,Zenith Tech Distribution,274,25.53
PROD-0141,Domyos Racket Sports Premium,Sports,Racket Sports,Domyos,7244.72,11689.0,Fitnation Logistics,134,38.02
PROD-0142,Peter England Women'S Wear Premium,Fashion,Women'S Wear,Peter England,466.2,829.0,Heritage Weaves,464,43.76
PROD-0143,Apple Smartphones Classic,Electronics,Smartphones,Apple,14892.55,17679.0,Metro Gadget Hub,465,15.76
PROD-0144,Harpercollins Fiction Elite,Books,Fiction,Harpercollins,224.32,319.0,Global Book Importers,267,29.68
PROD-0145,American Tourister Travel Gear Essentials,Accessories,Travel Gear,American Tourister,218.53,549.0,Vanguard Leather Works,130,60.19
PROD-0146,Yonex Sports Apparel Elite,Sports,Sports Apparel,Yonex,441.21,679.0,Olympus Gear,156,35.02
PROD-0147,W Kids Wear Plus,Fashion,Kids Wear,W,1638.08,3399.0,Heritage Weaves,148,51.81
PROD-0148,Prestige Small Appliances Max,Home & Kitchen,Small Appliances,Prestige,2825.8,4199.0,Urban Living Goods,152,32.7
PROD-0149,Yonex Outdoor Gear Pro,Sports,Outdoor Gear,Yonex,4191.64,7299.0,Olympus Gear,576,42.57
PROD-0150,Nivia Sports Apparel Pro,Sports,Sports Apparel,Nivia,746.86,1349.0,Action Sports Distribution,286,44.64
PROD-0151,Peter England Kids Wear Essentials,Fashion,Kids Wear,Peter England,1479.28,2439.0,Heritage Weaves,546,39.35
PROD-0152,Lenskart Travel Gear Essentials,Accessories,Travel Gear,Lenskart,964.47,2479.0,Vanguard Leather Works,372,61.09
PROD-0153,Boat Accessories Elite,Electronics,Accessories,Boat,19766.05,25619.0,Metro Gadget Hub,541,22.85
PROD-0154,Nykaa Makeup Series 5,Beauty,Makeup,Nykaa,223.89,459.0,Pureglow Cosmetics,418,51.22
PROD-0155,Samsung Smartphones Pro,Electronics,Smartphones,Samsung,5759.49,6809.0,Apex Electronics Ltd,299,15.41
PROD-0156,Levi'S Footwear Max,Fashion,Footwear,Levi'S,440.33,749.0,Royal Garments Supply,343,41.21
PROD-0157,Hp Smartphones Elite,Electronics,Smartphones,Hp,42002.55,52129.0,Apex Electronics Ltd,181,19.43
PROD-0158,Zudio Women'S Wear Pro,Fashion,Women'S Wear,Zudio,907.4,1889.0,Vibrant Textiles Corp,167,51.96
PROD-0159,Aashirvaad Breakfast & Dairy Premium,Grocery,Breakfast & Dairy,Aashirvaad,94.23,109.0,Bharat Foodworks,371,13.55
PROD-0160,Titan Bags & Backpacks Plus,Accessories,Bags & Backpacks,Titan,498.1,839.0,Prism Lifestyle Supply,504,40.63
PROD-0161,Xiaomi Audio & Headphones Pro,Electronics,Audio & Headphones,Xiaomi,666.53,899.0,Apex Electronics Ltd,216,25.86
PROD-0162,Zudio Men'S Wear Essentials,Fashion,Men'S Wear,Zudio,1889.93,4959.0,Royal Garments Supply,99,61.89
PROD-0163,Forest Essentials Haircare Premium,Beauty,Haircare,Forest Essentials,130.96,219.0,Pureglow Cosmetics,132,40.2
PROD-0164,Spaces Small Appliances Classic,Home & Kitchen,Small Appliances,Spaces,765.82,1279.0,Homecraft Distributors,170,40.12
PROD-0165,Bajaj Cookware Max,Home & Kitchen,Cookware,Bajaj,4223.32,6889.0,Homecraft Distributors,486,38.69
PROD-0166,Yonex Cycling Classic,Sports,Cycling,Yonex,5901.2,8189.0,Olympus Gear,69,27.94
PROD-0167,Zudio Men'S Wear Max,Fashion,Men'S Wear,Zudio,397.38,649.0,Heritage Weaves,133,38.77
PROD-0168,Spaces Cookware Max,Home & Kitchen,Cookware,Spaces,622.02,979.0,Sterling Kitchenware,147,36.46
PROD-0169,Titan Watches Premium,Accessories,Watches,Titan,187.95,419.0,Optima Accessories,47,55.14
PROD-0170,Apple Smartwatches Elite,Electronics,Smartwatches,Apple,2740.09,3399.0,Metro Gadget Hub,556,19.39
PROD-0171,Fastrack Jewelry & Belts Premium,Accessories,Jewelry & Belts,Fastrack,517.24,889.0,Optima Accessories,234,41.82
PROD-0172,Puma Men'S Wear Plus,Fashion,Men'S Wear,Puma,422.7,719.0,Heritage Weaves,456,41.21
PROD-0173,The Derma Co Fragrances Series 5,Beauty,Fragrances,The Derma Co,118.19,239.0,Pureglow Cosmetics,28,50.55
PROD-0174,Forest Essentials Haircare Ultra,Beauty,Haircare,Forest Essentials,411.33,669.0,Divine Botanicals,548,38.52
PROD-0175,Fastrack Bags & Backpacks Classic,Accessories,Bags & Backpacks,Fastrack,316.68,829.0,Prism Lifestyle Supply,117,61.8
PROD-0176,Puma Men'S Wear Series 5,Fashion,Men'S Wear,Puma,887.99,1629.0,Vibrant Textiles Corp,419,45.49
PROD-0177,W Winter Wear Elite,Fashion,Winter Wear,W,292.43,529.0,Vibrant Textiles Corp,23,44.72
PROD-0178,Haldiram'S Breakfast & Dairy Classic,Grocery,Breakfast & Dairy,Haldiram'S,484.52,549.0,Annapurna Fmcg Wholesale,308,11.74
PROD-0179,Nykaa Fragrances Premium,Beauty,Fragrances,Nykaa,1107.22,2569.0,Pureglow Cosmetics,213,56.9
PROD-0180,Sony Accessories Prime,Electronics,Accessories,Sony,34482.34,41159.0,Zenith Tech Distribution,82,16.22
PROD-0181,Bajaj Cookware Premium,Home & Kitchen,Cookware,Bajaj,1027.76,1869.0,Urban Living Goods,368,45.01
PROD-0182,Dabur Snacks & Beverages Max,Grocery,Snacks & Beverages,Dabur,1077.96,1199.0,Annapurna Fmcg Wholesale,249,10.1
PROD-0183,Fortune Cooking Essentials Ultra,Grocery,Cooking Essentials,Fortune,60.77,70.0,Annapurna Fmcg Wholesale,210,13.19
PROD-0184,Cello Bedding & Linen Elite,Home & Kitchen,Bedding & Linen,Cello,969.87,1619.0,Urban Living Goods,567,40.09
PROD-0185,Spaces Home Decor Classic,Home & Kitchen,Home Decor,Spaces,4628.65,6889.0,Sterling Kitchenware,232,32.81
PROD-0186,Puma Men'S Wear Classic,Fashion,Men'S Wear,Puma,3101.72,4929.0,Vibrant Textiles Corp,41,37.07
PROD-0187,Forest Essentials Haircare Prime,Beauty,Haircare,Forest Essentials,681.26,1409.0,Pureglow Cosmetics,141,51.65
PROD-0188,Puma Sports Outdoor Gear Essentials,Sports,Outdoor Gear,Puma Sports,329.72,569.0,Action Sports Distribution,251,42.05
PROD-0189,Hp Cameras Pro,Electronics,Cameras,Hp,4294.28,4939.0,Zenith Tech Distribution,185,13.05
PROD-0190,Prestige Storage & Org Max,Home & Kitchen,Storage & Org,Prestige,1573.47,2959.0,Sterling Kitchenware,456,46.82
PROD-0191,Domyos Cycling Pro,Sports,Cycling,Domyos,1239.09,2199.0,Olympus Gear,437,43.65
PROD-0192,Philips Small Appliances Ultra,Home & Kitchen,Small Appliances,Philips,1261.04,2099.0,Homecraft Distributors,558,39.92
PROD-0193,Fabindia Winter Wear Elite,Fashion,Winter Wear,Fabindia,2405.41,4009.0,Royal Garments Supply,282,40.0
PROD-0194,Prestige Small Appliances Ultra,Home & Kitchen,Small Appliances,Prestige,1886.68,3499.0,Homecraft Distributors,48,46.08
PROD-0195,Tata Sampann Snacks & Beverages Pro,Grocery,Snacks & Beverages,Tata Sampann,254.25,309.0,Annapurna Fmcg Wholesale,386,17.72
PROD-0196,Peter England Ethnic Wear Essentials,Fashion,Ethnic Wear,Peter England,648.09,1599.0,Heritage Weaves,392,59.47
PROD-0197,Amul Cooking Essentials Max,Grocery,Cooking Essentials,Amul,944.35,1069.0,Bharat Foodworks,394,11.66
PROD-0198,Arihant Academic & Test Prep Elite,Books,Academic & Test Prep,Arihant,779.25,1079.0,Scholar Press Logistics,395,27.78
PROD-0199,Spaces Home Decor Plus,Home & Kitchen,Home Decor,Spaces,2551.25,4199.0,Homecraft Distributors,272,39.24
PROD-0200,Skybags Jewelry & Belts Classic,Accessories,Jewelry & Belts,Skybags,439.71,1099.0,Optima Accessories,272,59.99
PROD-0201,Jaico Academic & Test Prep Max,Books,Academic & Test Prep,Jaico,269.37,419.0,Global Book Importers,60,35.71
PROD-0202,Prestige Storage & Org Series 5,Home & Kitchen,Storage & Org,Prestige,907.27,1299.0,Homecraft Distributors,140,30.16
PROD-0203,Levi'S Men'S Wear Prime,Fashion,Men'S Wear,Levi'S,1243.48,3099.0,Vibrant Textiles Corp,582,59.87
PROD-0204,Fabindia Women'S Wear Prime,Fashion,Women'S Wear,Fabindia,735.59,1209.0,Royal Garments Supply,297,39.16
PROD-0205,Yonex Fitness Equipment Prime,Sports,Fitness Equipment,Yonex,6441.33,10359.0,Action Sports Distribution,543,37.82
PROD-0206,Lakme Skincare Max,Beauty,Skincare,Lakme,577.64,969.0,Divine Botanicals,390,40.39
PROD-0207,Decathlon Cycling Premium,Sports,Cycling,Decathlon,1704.25,2759.0,Action Sports Distribution,46,38.23
PROD-0208,Haldiram'S Staples & Grains Pro,Grocery,Staples & Grains,Haldiram'S,603.91,749.0,Bharat Foodworks,489,19.37
PROD-0209,Nestle Staples & Grains Pro,Grocery,Staples & Grains,Nestle,1203.03,1449.0,Bharat Foodworks,433,16.98
PROD-0210,Oneplus Smartwatches Pro,Electronics,Smartwatches,Oneplus,4948.63,6429.0,Apex Electronics Ltd,488,23.03
PROD-0211,Boat Accessories Max,Electronics,Accessories,Boat,904.55,1039.0,Zenith Tech Distribution,63,12.94
PROD-0212,Cosco Outdoor Gear Ultra,Sports,Outdoor Gear,Cosco,1284.14,1899.0,Olympus Gear,518,32.38
PROD-0213,Boat Audio & Headphones Classic,Electronics,Audio & Headphones,Boat,18570.84,22239.0,Zenith Tech Distribution,131,16.49
