product_id,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity
PROD-0031,OnePlus Laptops Classic,Electronics,Laptops,OnePlus,1128.88,1519.0,Metro Gadget Hub,199
PROD-0032,The Derma Co Haircare Classic,Beauty,Haircare,The Derma Co,411.24,859.0,Aura Personal Care,103
PROD-0033,Nike Ethnic Wear Elite,Fashion,Ethnic Wear,Nike,1868.16,2979.0,Vibrant Textiles Corp,567
PROD-0034,Mamaearth Fragrances Ultra,Beauty,Fragrances,Mamaearth,380.26,1019.0,Divine Botanicals,429
PROD-0035,Philips Storage & Org Max,Home & Kitchen,Storage & Org,Philips,326.34,539.0,Urban Living Goods,550
PROD-0036,Apple Accessories Premium,Electronics,Accessories,Apple,1767.93,2019.0,Apex Electronics Ltd,157
PROD-0037,Spaces Home Decor Premium,Home & Kitchen,Home Decor,Spaces,287.39,459.0,Sterling Kitchenware,55
PROD-0038,Amul Breakfast & Dairy Prime,Grocery,Breakfast & Dairy,Amul,542.44,609.0,Annapurna FMCG Wholesale,569
PROD-0039,W Footwear Classic,Fashion,Footwear,W,1086.02,2659.0,Vibrant Textiles Corp,144
PROD-0040,Sony Smartphones Premium,Electronics,Smartphones,Sony,25650.29,32009.0,Apex Electronics Ltd,250
PROD-0041,Spaces Storage & Org Premium,Home & Kitchen,Storage & Org,Spaces,4238.03,7429.0,Urban Living Goods,271
PROD-0042,Rupa Publications Children's Books Classic,Books,Children's Books,Rupa Publications,213.61,309.0,Scholar Press Logistics,320
PROD-0043,The Derma Co Men's Grooming Premium,Beauty,Men's Grooming,The Derma Co,232.55,499.0,Divine Botanicals,539
PROD-0044,FabIndia Kids Wear Max,Fashion,Kids Wear,FabIndia,389.26,709.0,Heritage Weaves,305
PROD-0045,Yonex Outdoor Gear Series 5,Sports,Outdoor Gear,Yonex,5800.35,8809.0,Olympus Gear,534
PROD-0046,Lakme Fragrances Essentials,Beauty,Fragrances,Lakme,101.09,269.0,Divine Botanicals,108
PROD-0047,Philips Home Decor Series 5,Home & Kitchen,Home Decor,Philips,2367.33,4219.0,HomeCraft Distributors,426
PROD-0048,Raymond Ethnic Wear Plus,Fashion,Ethnic Wear,Raymond,726.26,1859.0,Royal Garments Supply,567
PROD-0049,Apple Accessories Premium,Electronics,Accessories,Apple,13250.39,17779.0,Apex Electronics Ltd,477
PROD-0050,Raymond Footwear Premium,Fashion,Footwear,Raymond,1690.73,4249.0,Vibrant Textiles Corp,80
PROD-0051,Yonex Cycling Series 5,Sports,Cycling,Yonex,477.56,699.0,Olympus Gear,519
PROD-0052,Xiaomi Smartwatches Premium,Electronics,Smartwatches,Xiaomi,26552.43,34889.0,Apex Electronics Ltd,461
PROD-0053,Forest Essentials Men's Grooming Classic,Beauty,Men's Grooming,Forest Essentials,328.99,549.0,Divine Botanicals,147
PROD-0054,Puma Sports Outdoor Gear Plus,Sports,Outdoor Gear,Puma Sports,2479.32,4369.0,Olympus Gear,520
PROD-0055,Domyos Fitness Equipment Series 5,Sports,Fitness Equipment,Domyos,3832.56,6379.0,Olympus Gear,340
PROD-0056,Lakme Men's Grooming Classic,  Beauty  ,Men's Grooming,Lakme,255.59,679.0,Aura Personal Care,258
PROD-0057,Lakme Makeup Ultra,  Beauty  ,Makeup,Lakme,369.83,619.0,Divine Botanicals,45
PROD-0058,Nike Winter Wear Prime,Fashion,Winter Wear,Nike,1110.29,1929.0,Royal Garments Supply,354
PROD-0059,Peter England Winter Wear Pro,Fashion,Winter Wear,Peter England,1117.07,1849.0,Heritage Weaves,46
PROD-0060,HarperCollins Fiction Series 5,Books,Fiction,HarperCollins,281.47,409.0,National Book Depot,195
PROD-0061,Sony Accessories Ultra,Electronics,Accessories,Sony,2870.01,3489.0,Zenith Tech Distribution,272
PROD-0062,Arihant Non-Fiction Essentials,Books,Non-Fiction,Arihant,550.06,739.0,National Book Depot,418
PROD-0063,Nykaa Haircare Premium,  Beauty  ,Haircare,Nykaa,140.92,399.0,Aura Personal Care,316
PROD-0064,Voylla Watches Classic,Accessories,Watches,Voylla,634.36,1569.0,Optima Accessories,560
PROD-0065,Rupa Publications Children's Books Plus,Books,Children's Books,Rupa Publications,446.91,669.0,National Book Depot,214
PROD-0066,Lenskart Travel Gear Elite,Accessories,Travel Gear,Lenskart,737.79,1749.0,Optima Accessories,429
PROD-0067,Rupa Publications Non-Fiction Elite,Books,Non-Fiction,Rupa Publications,396.98,599.0,Global Book Importers,206
PROD-0068,Nike Kids Wear Essentials,Fashion,Kids Wear,Nike,768.28,1259.0,Heritage Weaves,197
PROD-0069,Spaces Home Decor Premium,Home & Kitchen,Home Decor,Spaces,780.33,1499.0,HomeCraft Distributors,190
PROD-0070,Maybelline Fragrances Plus,Beauty,Fragrances,Maybelline,1006.12,1899.0,Divine Botanicals,366
PROD-0071,Arihant Children's Books Elite,Books,Children's Books,Arihant,360.31,539.0,Scholar Press Logistics,119
PROD-0072,W Women's Wear Series 5,Fashion,Women's Wear,W,933.2,1949.0,Vibrant Textiles Corp,415
PROD-0073,The Derma Co Makeup Essentials,Beauty,Makeup,The Derma Co,1033.88,2739.0,PureGlow Cosmetics,546
PROD-0074,American Tourister Eyewear Elite,Accessories,Eyewear,American Tourister,720.97,2199.0,Vanguard Leather Works,31
PROD-0075,Rupa Publications Children's Books Ultra,Books,Children's Books,Rupa Publications,184.31,259.0,National Book Depot,282
PROD-0076,Allen Solly Women's Wear Ultra,Fashion,Women's Wear,Allen Solly,299.01,499.0,Vibrant Textiles Corp,137
PROD-0077,Xiaomi Accessories Max,Electronics,Accessories,Xiaomi,17244.52,21019.0,Metro Gadget Hub,130
PROD-0078,Zudio Ethnic Wear Classic,  Fashion  ,Ethnic Wear,Zudio,1411.33,3319.0,Royal Garments Supply,63
PROD-0079,Lenskart Watches Elite,Accessories,Watches,Lenskart,950.49,2019.0,Vanguard Leather Works,256
PROD-0080,Allen Solly Footwear Elite,Fashion,Footwear,Allen Solly,514.89,869.0,Vibrant Textiles Corp,230
PROD-0081,Puma Ethnic Wear Elite,Fashion,Ethnic Wear,Puma,3819.99,5879.0,Vibrant Textiles Corp,315
PROD-0082,OnePlus Smartwatches Elite,Electronics,Smartwatches,OnePlus,1464.87,1879.0,Zenith Tech Distribution,222
PROD-0083,Levi's Men's Wear Classic,Fashion,Men's Wear,Levi's,950.79,1559.0,Heritage Weaves,389
PROD-0084,Levi's Kids Wear Essentials,Fashion,Kids Wear,Levi's,323.38,639.0,Royal Garments Supply,552
PROD-0085,boAt Smartphones Essentials,Electronics,Smartphones,boAt,23194.78,28969.0,Zenith Tech Distribution,339
PROD-0086,Decathlon Fitness Equipment Ultra,Sports,Fitness Equipment,Decathlon,942.51,1399.0,Olympus Gear,168
PROD-0087,OnePlus Accessories Max,Electronics,Accessories,OnePlus,6971.97,8629.0,Zenith Tech Distribution,51
PROD-0088,Philips Home Decor Prime,Home & Kitchen,Home Decor,Philips,2052.93,3709.0,Sterling Kitchenware,556
PROD-0089,Kiprun Fitness Equipment Series 5,Sports,Fitness Equipment,Kiprun,318.42,509.0,Olympus Gear,499
PROD-0090,Samsung Cameras Classic,Electronics,Cameras,Samsung,15488.58,18739.0,Metro Gadget Hub,504
PROD-0091,Noise Smartphones Classic,Electronics,Smartphones,Noise,31832.22,40089.0,Zenith Tech Distribution,255
PROD-0092,W Kids Wear Elite,Fashion,Kids Wear,W,272.16,539.0,Heritage Weaves,426
PROD-0093,Aashirvaad Snacks & Beverages Series 5,Grocery,Snacks & Beverages,Aashirvaad,320.41,409.0,FarmFresh Agro Supplies,453
PROD-0094,Samsung Smartwatches Premium,Electronics,Smartwatches,Samsung,8112.08,10559.0,Zenith Tech Distribution,533
PROD-0095,Bombay Dyeing Bedding & Linen Essentials,Home & Kitchen,Bedding & Linen,Bombay Dyeing,283.01,469.0,Urban Living Goods,301
PROD-0096,Nykaa Makeup Essentials,Beauty,Makeup,Nykaa,666.89,1609.0,PureGlow Cosmetics,360
PROD-0097,Cosco Racket Sports Ultra,Sports,Racket Sports,Cosco,2444.95,3459.0,Olympus Gear,569
PROD-0098,Nike Winter Wear Premium,Fashion,Winter Wear,Nike,1350.06,3439.0,Heritage Weaves,447
PROD-0099,Sony Audio & Headphones Premium,Electronics,Audio & Headphones,Sony,7609.01,9099.0,Metro Gadget Hub,309
PROD-0100,W Women's Wear Ultra,Fashion,Women's Wear,W,855.5,1759.0,Vibrant Textiles Corp,136
PROD-0101,Dell Smartphones Pro,Electronics,Smartphones,Dell,21157.47,27649.0,Zenith Tech Distribution,154
PROD-0102,Titan Bags & Backpacks Classic,Accessories,Bags & Backpacks,Titan,194.65,449.0,Optima Accessories,329
PROD-0103,Bajaj Home Decor Plus,Home & Kitchen,Home Decor,Bajaj,618.4,1019.0,Urban Living Goods,89
PROD-0104,Nivia Sports Apparel Max,Sports,Sports Apparel,Nivia,182.96,329.0,Olympus Gear,348
PROD-0105,Penguin Self-Help Pro,Books,Self-Help,Penguin,473.35,719.0,Global Book Importers,346
PROD-0106,Peter England Footwear Series 5,Fashion,Footwear,Peter England,1761.65,3229.0,Vibrant Textiles Corp,223
PROD-0107,Aashirvaad Cooking Essentials Max,Grocery,Cooking Essentials,Aashirvaad,94.28,109.0,Bharat Foodworks,305
PROD-0108,Milton Home Decor Series 5,Home & Kitchen,Home Decor,Milton,615.46,969.0,Urban Living Goods,407
PROD-0109,Bombay Dyeing Bedding & Linen Essentials,Home & Kitchen,Bedding & Linen,Bombay Dyeing,3310.03,5379.0,HomeCraft Distributors,242
PROD-0110,Peter England Ethnic Wear Essentials,Fashion,Ethnic Wear,Peter England,495.95,919.0,Heritage Weaves,314
PROD-0111,Philips Bedding & Linen Pro,Home & Kitchen,Bedding & Linen,Philips,2629.39,3779.0,Urban Living Goods,147
PROD-0112,W Footwear Classic,Fashion,Footwear,W,706.89,1279.0,Heritage Weaves,392
PROD-0113,Levi's Footwear Series 5,Fashion,Footwear,Levi's,2018.73,3589.0,Vibrant Textiles Corp,238
PROD-0114,Hawkins Small Appliances Classic,Home & Kitchen,Small Appliances,Hawkins,1723.65,2559.0,Urban Living Goods,209
PROD-0115,Nivia Fitness Equipment Premium,Sports,Fitness Equipment,Nivia,1485.79,2249.0,Action Sports Distribution,161
PROD-0116,Oxford University Press Fiction Premium,Books,Fiction,Oxford University Press,159.03,249.0,National Book Depot,109
PROD-0117,Spaces Cookware Pro,Home & Kitchen,Cookware,Spaces,1329.23,2439.0,Urban Living Goods,107
PROD-0118,HarperCollins Children's Books Ultra,Books,Children's Books,HarperCollins,342.28,519.0,National Book Depot,516
PROD-0119,Bajaj Small Appliances Series 5,Home & Kitchen,Small Appliances,Bajaj,1421.54,2009.0,Urban Living Goods,489
PROD-0120,Samsung Audio & Headphones Classic,Electronics,Audio & Headphones,Samsung,30131.93,34569.0,Metro Gadget Hub,497
PROD-0121,Xiaomi Smartwatches Max,Electronics,Smartwatches,Xiaomi,26112.76,29679.0,Metro Gadget Hub,481
PROD-0122,Biba Women's Wear Essentials,Fashion,Women's Wear,Biba,1041.57,2129.0,Royal Garments Supply,490
PROD-0123,Cosco Outdoor Gear Elite,Sports,Outdoor Gear,Cosco,1256.7,1939.0,Olympus Gear,590
PROD-0124,Yonex Outdoor Gear Prime,Sports,Outdoor Gear,Yonex,1180.58,1879.0,Action Sports Distribution,173
PROD-0125,Tata Sampann Breakfast & Dairy Classic,Grocery,Breakfast & Dairy,Tata Sampann,186.98,219.0,FarmFresh Agro Supplies,107
PROD-0126,HP Cameras Series 5,Electronics,Cameras,HP,11349.91,12959.0,Zenith Tech Distribution,261
PROD-0127,Spaces Cookware Series 5,Home & Kitchen,Cookware,Spaces,2774.96,4549.0,HomeCraft Distributors,201
PROD-0128,Peter England Winter Wear Essentials,Fashion,Winter Wear,Peter England,2031.08,3519.0,Vibrant Textiles Corp,194
PROD-0129,Yonex Fitness Equipment Plus,Sports,Fitness Equipment,Yonex,2039.89,2849.0,Olympus Gear,218
PROD-0130,Nestle Cooking Essentials Premium,  Grocery  ,Cooking Essentials,Nestle,85.16,109.0,Bharat Foodworks,205
PROD-0131,Sony Smartphones Classic,Electronics,Smartphones,Sony,2257.0,2649.0,Apex Electronics Ltd,173
PROD-0132,Realme Cameras Plus,Electronics,Cameras,Realme,17419.2,22249.0,Metro Gadget Hub,436
PROD-0133,Penguin Non-Fiction Prime,Books,Non-Fiction,Penguin,183.61,259.0,Scholar Press Logistics,349
PROD-0134,Mamaearth Men's Grooming Ultra,Beauty,Men's Grooming,Mamaearth,301.77,699.0,Divine Botanicals,256
PROD-0135,Nykaa Men's Grooming Classic,Beauty,Men's Grooming,Nykaa,114.14,279.0,PureGlow Cosmetics,347
PROD-0136,Kiprun Outdoor Gear Premium,Sports,Outdoor Gear,Kiprun,2422.25,3369.0,Action Sports Distribution,568
PROD-0137,Nike Women's Wear Ultra,Fashion,Women's Wear,Nike,763.4,1329.0,Heritage Weaves,288
PROD-0138,FabIndia Ethnic Wear Essentials,Fashion,Ethnic Wear,FabIndia,1766.93,3699.0,Royal Garments Supply,519
PROD-0139,Philips Small Appliances Ultra,  Home & Kitchen  ,Small Appliances,Philips,385.66,719.0,Sterling Kitchenware,268
PROD-0140,Realme Smartphones Ultra,Electronics,Smartphones,Realme,22011.58,29559.0,Zenith Tech Distribution,274
PROD-0141,Domyos Racket Sports Premium,Sports,Racket Sports,Domyos,7244.72,11689.0,FitNation Logistics,134
PROD-0142,Peter England Women's Wear Premium,Fashion,Women's Wear,Peter England,466.2,829.0,Heritage Weaves,464
PROD-0143,Apple Smartphones Classic,Electronics,Smartphones,Apple,14892.55,17679.0,Metro Gadget Hub,465
PROD-0144,HarperCollins Fiction Elite,Books,Fiction,HarperCollins,224.32,319.0,Global Book Importers,267
PROD-0145,American Tourister Travel Gear Essentials,Accessories,Travel Gear,American Tourister,218.53,549.0,Vanguard Leather Works,130
PROD-0146,Yonex Sports Apparel Elite,Sports,Sports Apparel,Yonex,441.21,679.0,Olympus Gear,156
PROD-0147,W Kids Wear Plus,Fashion,Kids Wear,W,1638.08,3399.0,Heritage Weaves,148
PROD-0148,Prestige Small Appliances Max,Home & Kitchen,Small Appliances,Prestige,2825.8,4199.0,Urban Living Goods,152
PROD-0149,Yonex Outdoor Gear Pro,Sports,Outdoor Gear,Yonex,4191.64,7299.0,Olympus Gear,576
PROD-0150,Nivia Sports Apparel Pro,Sports,Sports Apparel,Nivia,746.86,1349.0,Action Sports Distribution,286
PROD-0151,Peter England Kids Wear Essentials,Fashion,Kids Wear,Peter England,1479.28,2439.0,Heritage Weaves,546
PROD-0152,Lenskart Travel Gear Essentials,Accessories,Travel Gear,Lenskart,964.47,2479.0,Vanguard Leather Works,372
PROD-0153,boAt Accessories Elite,Electronics,Accessories,boAt,19766.05,25619.0,Metro Gadget Hub,541
PROD-0154,Nykaa Makeup Series 5,Beauty,Makeup,Nykaa,223.89,459.0,PureGlow Cosmetics,418
PROD-0155,Samsung Smartphones Pro,Electronics,Smartphones,Samsung,5759.49,6809.0,Apex Electronics Ltd,299
PROD-0156,Levi's Footwear Max,Fashion,Footwear,Levi's,440.33,749.0,Royal Garments Supply,343
PROD-0157,HP Smartphones Elite,Electronics,Smartphones,HP,42002.55,52129.0,Apex Electronics Ltd,181
PROD-0158,Zudio Women's Wear Pro,Fashion,Women's Wear,Zudio,907.4,1889.0,Vibrant Textiles Corp,167
PROD-0159,Aashirvaad Breakfast & Dairy Premium,Grocery,Breakfast & Dairy,Aashirvaad,94.23,109.0,Bharat Foodworks,371
PROD-0160,Titan Bags & Backpacks Plus,Accessories,Bags & Backpacks,Titan,498.1,839.0,Prism Lifestyle Supply,504
PROD-0161,Xiaomi Audio & Headphones Pro,Electronics,Audio & Headphones,Xiaomi,666.53,899.0,Apex Electronics Ltd,216
PROD-0162,Zudio Men's Wear Essentials,Fashion,Men's Wear,Zudio,1889.93,4959.0,Royal Garments Supply,99
PROD-0163,Forest Essentials Haircare Premium,Beauty,Haircare,Forest Essentials,130.96,219.0,PureGlow Cosmetics,132
PROD-0164,Spaces Small Appliances Classic,Home & Kitchen,Small Appliances,Spaces,765.82,1279.0,HomeCraft Distributors,170
PROD-0165,Bajaj Cookware Max,Home & Kitchen,Cookware,Bajaj,4223.32,6889.0,HomeCraft Distributors,486
PROD-0166,Yonex Cycling Classic,Sports,Cycling,Yonex,5901.2,8189.0,Olympus Gear,69
PROD-0167,Zudio Men's Wear Max,Fashion,Men's Wear,Zudio,397.38,649.0,Heritage Weaves,133
PROD-0168,Spaces Cookware Max,Home & Kitchen,Cookware,Spaces,622.02,979.0,Sterling Kitchenware,147
PROD-0169,Titan Watches Premium,Accessories,Watches,Titan,187.95,419.0,Optima Accessories,47
PROD-0170,Apple Smartwatches Elite,Electronics,Smartwatches,Apple,2740.09,3399.0,Metro Gadget Hub,556
PROD-0171,Fastrack Jewelry & Belts Premium,Accessories,Jewelry & Belts,Fastrack,517.24,889.0,Optima Accessories,234
PROD-0172,Puma Men's Wear Plus,  Fashion  ,Men's Wear,Puma,422.7,719.0,Heritage Weaves,456
PROD-0173,The Derma Co Fragrances Series 5,Beauty,Fragrances,The Derma Co,118.19,239.0,PureGlow Cosmetics,28
PROD-0174,Forest Essentials Haircare Ultra,Beauty,Haircare,Forest Essentials,411.33,669.0,Divine Botanicals,548
PROD-0175,Fastrack Bags & Backpacks Classic,Accessories,Bags & Backpacks,Fastrack,316.68,829.0,Prism Lifestyle Supply,117
PROD-0176,Puma Men's Wear Series 5,Fashion,Men's Wear,Puma,887.99,1629.0,Vibrant Textiles Corp,419
PROD-0177,W Winter Wear Elite,Fashion,Winter Wear,W,292.43,529.0,Vibrant Textiles Corp,23
PROD-0178,Haldiram's Breakfast & Dairy Classic,Grocery,Breakfast & Dairy,Haldiram's,484.52,549.0,Annapurna FMCG Wholesale,308
PROD-0179,Nykaa Fragrances Premium,Beauty,Fragrances,Nykaa,1107.22,2569.0,PureGlow Cosmetics,213
PROD-0180,Sony Accessories Prime,Electronics,Accessories,Sony,34482.34,41159.0,Zenith Tech Distribution,82
PROD-0181,Bajaj Cookware Premium,Home & Kitchen,Cookware,Bajaj,1027.76,1869.0,Urban Living Goods,368
PROD-0182,Dabur Snacks & Beverages Max,Grocery,Snacks & Beverages,Dabur,1077.96,1199.0,Annapurna FMCG Wholesale,249
PROD-0183,Fortune Cooking Essentials Ultra,Grocery,Cooking Essentials,Fortune,60.77,70.0,Annapurna FMCG Wholesale,210
PROD-0184,Cello Bedding & Linen Elite,Home & Kitchen,Bedding & Linen,Cello,969.87,1619.0,Urban Living Goods,567
PROD-0185,Spaces Home Decor Classic,Home & Kitchen,Home Decor,Spaces,4628.65,6889.0,Sterling Kitchenware,232
PROD-0186,Puma Men's Wear Classic,Fashion,Men's Wear,Puma,3101.72,4929.0,Vibrant Textiles Corp,41
PROD-0187,Forest Essentials Haircare Prime,Beauty,Haircare,Forest Essentials,681.26,1409.0,PureGlow Cosmetics,141
PROD-0188,Puma Sports Outdoor Gear Essentials,Sports,Outdoor Gear,Puma Sports,329.72,569.0,Action Sports Distribution,251
PROD-0189,HP Cameras Pro,Electronics,Cameras,HP,4294.28,4939.0,Zenith Tech Distribution,185
PROD-0190,Prestige Storage & Org Max,Home & Kitchen,Storage & Org,Prestige,1573.47,2959.0,Sterling Kitchenware,456
PROD-0191,Domyos Cycling Pro,Sports,Cycling,Domyos,1239.09,2199.0,Olympus Gear,437
PROD-0192,Philips Small Appliances Ultra,Home & Kitchen,Small Appliances,Philips,1261.04,2099.0,HomeCraft Distributors,558
PROD-0193,FabIndia Winter Wear Elite,Fashion,Winter Wear,FabIndia,2405.41,4009.0,Royal Garments Supply,282
PROD-0194,Prestige Small Appliances Ultra,  Home & Kitchen  ,Small Appliances,Prestige,1886.68,3499.0,HomeCraft Distributors,48
PROD-0195,Tata Sampann Snacks & Beverages Pro,Grocery,Snacks & Beverages,Tata Sampann,254.25,309.0,Annapurna FMCG Wholesale,386
PROD-0196,Peter England Ethnic Wear Essentials,Fashion,Ethnic Wear,Peter England,648.09,1599.0,Heritage Weaves,392
PROD-0197,Amul Cooking Essentials Max,Grocery,Cooking Essentials,Amul,944.35,1069.0,Bharat Foodworks,394
PROD-0198,Arihant Academic & Test Prep Elite,Books,Academic & Test Prep,Arihant,779.25,1079.0,Scholar Press Logistics,395
PROD-0199,Spaces Home Decor Plus,Home & Kitchen,Home Decor,Spaces,2551.25,4199.0,HomeCraft Distributors,272
PROD-0200,Skybags Jewelry & Belts Classic,Accessories,Jewelry & Belts,Skybags,439.71,1099.0,Optima Accessories,272
PROD-0201,Jaico Academic & Test Prep Max,Books,Academic & Test Prep,Jaico,269.37,419.0,Global Book Importers,60
PROD-0202,Prestige Storage & Org Series 5,Home & Kitchen,Storage & Org,Prestige,907.27,1299.0,HomeCraft Distributors,140
PROD-0203,Levi's Men's Wear Prime,Fashion,Men's Wear,Levi's,1243.48,3099.0,Vibrant Textiles Corp,582
PROD-0204,FabIndia Women's Wear Prime,Fashion,Women's Wear,FabIndia,735.59,1209.0,Royal Garments Supply,297
PROD-0205,Yonex Fitness Equipment Prime,Sports,Fitness Equipment,Yonex,6441.33,10359.0,Action Sports Distribution,543
PROD-0206,Lakme Skincare Max,Beauty,Skincare,Lakme,577.64,969.0,Divine Botanicals,390
PROD-0207,Decathlon Cycling Premium,Sports,Cycling,Decathlon,1704.25,2759.0,Action Sports Distribution,46
PROD-0208,Haldiram's Staples & Grains Pro,  Grocery  ,Staples & Grains,Haldiram's,603.91,749.0,Bharat Foodworks,489
PROD-0209,Nestle Staples & Grains Pro,Grocery,Staples & Grains,Nestle,1203.03,1449.0,Bharat Foodworks,433
PROD-0210,OnePlus Smartwatches Pro,Electronics,Smartwatches,OnePlus,4948.63,6429.0,Apex Electronics Ltd,488
PROD-0211,boAt Accessories Max,Electronics,Accessories,boAt,904.55,1039.0,Zenith Tech Distribution,63
PROD-0212,Cosco Outdoor Gear Ultra,Sports,Outdoor Gear,Cosco,1284.14,1899.0,Olympus Gear,518
PROD-0213,boAt Audio & Headphones Classic,Electronics,Audio & Headphones,boAt,18570.84,22239.0,Zenith Tech Distribution,131
PROD-0214,Levi's Winter Wear Pro,Fashion,Winter Wear,Levi's,1262.14,2529.0,Vibrant Textiles Corp,593
PROD-0215,Biba Ethnic Wear Series 5,Fashion,Ethnic Wear,Biba,1418.28,2459.0,Royal Garments Supply,555
PROD-0216,Jaico Self-Help Prime,Books,Self-Help,Jaico,180.35,239.0,National Book Depot,274
PROD-0217,Decathlon Cycling Max,Sports,Cycling,Decathlon,2910.25,4079.0,Action Sports Distribution,589
PROD-0218,Sony Smartphones Plus,Electronics,Smartphones,Sony,27772.89,36009.0,Apex Electronics Ltd,427
PROD-0219,Peter England Women's Wear Prime,Fashion,Women's Wear,Peter England,1577.56,2559.0,Royal Garments Supply,418
PROD-0220,Philips Bedding & Linen Elite,Home & Kitchen,Bedding & Linen,Philips,236.78,369.0,HomeCraft Distributors,80
PROD-0221,boAt Cameras Essentials,Electronics,Cameras,boAt,5680.25,6919.0,Apex Electronics Ltd,34
PROD-0222,Prestige Cookware Prime,Home & Kitchen,Cookware,Prestige,258.42,399.0,Sterling Kitchenware,439
PROD-0223,Decathlon Cycling Elite,Sports,Cycling,Decathlon,709.54,1169.0,FitNation Logistics,40
PROD-0224,FabIndia Men's Wear Essentials,Fashion,Men's Wear,FabIndia,711.28,1429.0,Vibrant Textiles Corp,512
PROD-0225,Titan Jewelry & Belts Pro,Accessories,Jewelry & Belts,Titan,212.09,359.0,Prism Lifestyle Supply,35
PROD-0226,Maybelline Makeup Series 5,Beauty,Makeup,Maybelline,1065.03,3019.0,Divine Botanicals,84
PROD-0227,Milton Storage & Org Pro,Home & Kitchen,Storage & Org,Milton,921.38,1559.0,Urban Living Goods,337
PROD-0228,Hawkins Small Appliances Classic,Home & Kitchen,Small Appliances,Hawkins,1444.24,2649.0,Sterling Kitchenware,58
